[410294]: 11775ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2896 EnsureResetEngineEngineAdapterComplete
[410294]: 11775ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2815 InitRecoEngineAdapter
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspRecoEngineAdapterRetry_OffsetFixupWrapper' as '806006714'
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000002e922400; name='INTENT-region'; value=''
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3251 [0x2e922370]CSpxAudioStreamSession::StartAudioPump: Starting pump[0x2e7206c8]...
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBufferData' as '705421989'
[410294]: 11775ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [0x736f04003510]CSpxBufferData::EnsureInitRingBuffer - Init
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e922400; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e922400; name='AudioConfig_SampleRateForCapture'; value='16000'
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e922400; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:111 [0x2e947fe0]CSpxAudioPump::StartPump():
