[326252]: 43ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2896 EnsureResetEngineEngineAdapterComplete
[326252]: 43ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2815 InitRecoEngineAdapter
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspRecoEngineAdapterRetry_OffsetFixupWrapper' as '806006714'
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000002e9e70c0; name='INTENT-region'; value=''
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3251 [0x2e9e7030]CSpxAudioStreamSession::StartAudioPump: Starting pump[0x2e7206c8]...
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBufferData' as '705421989'
[326252]: 43ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [0x736f0c002c20]CSpxBufferData::EnsureInitRingBuffer - Init
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e9e70c0; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e9e70c0; name='AudioConfig_SampleRateForCapture'; value='16000'
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e9e70c0; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:111 [0x2e947fe0]CSpxAudioPump::StartPump():
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:534 [0x2e947fe0]CSpxAudioPump::WaitForPumpStart() ... pre m_cv.wait_for()
[521557]: 43ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_pump.cpp:173 *** AudioPump THREAD started! ***
[521557]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:176 [0x2e947fe0]CSpxAudioPump::PumpThread(): getting format from reader... 
[521557]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:186 CSpxAudioPump::PumpThread(): setting format on processor...
[521557]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:208 [0x2e947fe0]CSpxAudioPump::PumpThread(): allocating our first buffer
[521557]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:277 [0x2e947fe0]CSpxAudioPump::PumpThread(): Starting loop ... => frame size: 3200 | wFormatTag: 'PCM'| nChannels: 1 | nSamplesPerSec:  16000 | nAvgBytesPerSec: 32000 | nBlockAlign: 2 | wBitsPerSample: 16 | cbSize: 0 
[521557]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:252 [0x2e947fe0]CSpxAudioPump::PumpThread(), checkAndChangeState: changing states as requested: 'Idle' => 'Processing'
[521557]: 43ms SPX_DBG_TRACE_VERBOSE:  push_audio_input_stream.cpp:98 CSpxPushAudioInputStream::Read: bytesToRead=3200
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:540 [0x2e947fe0]CSpxAudioPump::WaitForPumpStart() ... post m_cv.wait_for(); state='Processing' (requestedState='Processing')
[326252]: 43ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3164 StartAudioPump
[326252]: 43ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1177 StartRecognizing
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:467 [0x2e9e7030]CSpxAudioStreamSession::SetFormat: format != nullptr
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3583 [0x2e9e7030]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 4/1 => 4/2
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:472 [0x2e9e7030]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
[326252]: 43ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3396 InformAdapterSetFormatStarting
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[247571]: 43ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1120 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD stopped ***
[326252]: 43ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter_retry.cpp:19 InitDelegatePtr
[326252]: 43ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:50 CSpxUspRecoEngineAdapter: this=0x0x736f0c01a950
[326252]: 43ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspRecoEngineAdapter' as '806006714'
[326252]: 43ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:63 Init
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:64 Init: this=0x0x736f0c01a950
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x00736f0c01a9a8; name='CARBON-INTERNAL-DumpAudioToDir'; value=''
[543259]: 43ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:178 CSpxHandleTable::StopTracking(h) h=0x0x2e9ea0b0
[543259]: 43ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:190 CSpxHandleTable::StopTracking(h) class=CSpxAsyncOp<void>, h=0x0x2e9ea0b0, p=0x0x2e9ea0b0, tot=0
[326252]: 43ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:63 Init
[326252]: 43ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter_retry.cpp:19 InitDelegatePtr
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:115 SetAdapterMode: singleShot=0
[326252]: 43ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:230 SetFormat
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:231 SetFormat: this=0x0x736f0c01a950
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:234 SetFormat
  wFormatTag:      PCM
  nChannels:       1
  nSamplesPerSec:  16000
  nAvgBytesPerSec: 32000
  nBlockAlign:     2
  wBitsPerSample:  16
  cbSize:          0
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3026 TryChangeState; audioState/uspState: 0/0 => 1/0 USP-START
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:264 SetFormat: (0x0x736f0c01a950)->PrepareFirstAudioReadyState()
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3202 ResetBeforeFirstAudio: this=0x0x736f0c01a950 ... USP-RESET
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3051 PrepareCompressionCodec: Prepare compression codec.
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x00736f0c01a9a8; name='SPEECH-Compression-Codec-Module'; value=''
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3113 PrepareFirstAudioReadyState: (0x0x736f0c01a950)->PrepareCompressionCodec() result:        4. Sending the audio uncompressed
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x00736f0c01a9a8; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='Python'
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000002e9e70c0; name='HttpHeader#User-agent'; value='SpeechSDK-Python/1.40.0 Linux Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 6.6.87.2-microsoft-standard-WSL2'
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:357 UspInitialize: this=0x0x736f0c01a950
